shapeid,x,y,address
180,-73.7483279671,40.7738571784,240 RIDGE ROAD
181,-73.8281302483,40.790832946,30 NORTH DRIVE
182,-73.9044299215,40.702682374,5803 PUTNAM AVENUE
183,-73.8444609936,40.7173566043,61 GREENWAY TERRACE
184,-73.8300184311,40.580894059,8 CURTIS COURT
185,-73.8604243458,40.8468145256,168 DELANCEY PLACE
186,-73.920369803,40.8803552075,2570 INDEPENDENCE AVENUE
187,-73.86369005,40.6801421162,97-30 DREW STREET
188,-73.9666556254,40.5773732185,62 BRIGHTON 1 TERRACE
189,-73.8475468352,40.8130926656,72 HOWE AVENUE
190,-73.8304540956,40.7114718138,113 82 AVENUE
191,-73.829374731,40.7112715001,103 82 ROAD
192,-73.8383868035,40.7157418855,256 BURNS STREET
193,-73.7365946061,40.66366534,140-026 243 STREET
194,-73.8804598369,40.649258681,155 ELMIRA LOOP
195,-73.8428616002,40.7128058173,32 INGRAM STREET
196,-73.8397347163,40.716711237,186 BURNS STREET
197,-73.8414774605,40.7134690176,48 SUMMER STREET
198,-73.8288338618,40.7908345037,33 NORTH DRIVE
199,-73.7510609425,40.7790399226,302 RICHMOND ROAD
200,-73.8469671484,40.7179651588,66 TENNIS PLACE
201,-73.8381970231,40.7151723551,273 BURNS STREET
202,-73.7495877919,40.7785662508,330 WARWICK AVENUE
203,-73.8137613595,40.6913741954,1260 133 STREET
204,-73.7420945379,40.7380452767,78-029 CLOVERDALE BOULEVARD
205,-73.8471226956,40.719526575,1 TENNIS PLACE
206,-73.7491238209,40.7765499748,260 MANOR ROAD
207,-73.8604982346,40.8469482236,166 DELANCEY PLACE
208,-73.8793561505,40.6817366013,3135 ARLINGTON AVENUE
209,-73.8424283223,40.7157889281,81 ASCAN AVENUE
210,-73.8464791335,40.7156649755,64 GROTON STREET
211,-73.8270944647,40.7954293988,112 MALBA DRIVE
212,-73.8004275127,40.7825916355,163-045 WILLETS POINT BOULEVARD
213,-73.8476104822,40.7179159624,82 TENNIS PLACE
214,-73.9105233181,40.713923821,21-042 54 PLACE
215,-73.8448276025,40.718326653,11 GREENWAY TERRACE
216,-73.9613252666,40.5803771604,7 BRIGHTON 7 LANE
217,-73.9585525009,40.5816997001,47 GRAY COURT
218,-73.8458961309,40.7151033555,93 GROTON STREET
219,-73.8418218851,40.6946540727,155 88 AVENUE
220,-73.7508958157,40.7804304155,318 KENMORE ROAD
221,-73.7540877812,40.776767217,5 WESTMORELAND PLACE
222,-73.9076921701,40.6994622826,5551 PUTNAM AVENUE
223,-73.7539290918,40.7754347532,202 SHORE ROAD
224,-73.8289774855,40.7913806014,32 7 AVENUE
225,-73.7528369546,40.7735554101,1 ALSTON PLACE
226,-73.8304648521,40.7900690677,16 POINT CRESCENT
227,-73.7410569152,40.7534293464,63-079 DOUGLASTON PARKWAY
228,-73.8387284836,40.7160153337,226 BURNS STREET
229,-73.7510735824,40.7797144367,310 KNOLLWOOD AVENUE
230,-73.7491304138,40.7772292836,300 BEVERLY ROAD
231,-73.925229317,40.6379395183,13 PRESTON COURT
232,-73.9245199778,40.6379227744,30 PRESTON COURT
233,-73.8476314101,40.8134575821,67 HOWE AVENUE
234,-73.7387333621,40.7536221346,63-043 DOUGLASTON PARKWAY
235,-73.8290305563,40.7901043433,42 141 STREET
236,-73.8451428432,40.7179973699,7 ARCHWAY PLACE
237,-73.9244101667,40.6382830485,33 PRESTON COURT
238,-73.9628848344,40.6346862491,32 NEWKIRK PLAZA
239,-73.9730601717,40.5939717146,108 VILLAGE ROAD SOUTH
240,-73.8130373527,40.5900746149,355 DORMANS COURT
241,-73.810341537,40.7589205581,273 CHERRY AVENUE
242,-73.7521833408,40.780828671,7 KENMORE ROAD
243,-73.85767339,40.810432612,1501 UNDERHILL AVENUE
244,-73.906303211,40.7085041437,578 GRANDVIEW AVENUE
245,-73.8308987016,40.7125423649,112 81 AVENUE
246,-73.7483467405,40.769954414,15 40 AVENUE
247,-73.841378723,40.7143788823,11 SUMMER STREET
248,-73.7505681857,40.780109194,327 KNOLLWOOD AVENUE
249,-73.7773433195,40.7165982619,186-022 CHELSEA STREET
250,-73.8483166334,40.7159959073,17 GROTON STREET
251,-73.9163627158,40.7770475247,161 23 AVENUE
252,-73.8403821639,40.7154833649,72 GREENWAY NORTH
253,-73.907024885,40.6437930026,18 ROSE STREET
