shapeid,x,y,address
193,-73.7365946061,40.66366534,140-026 243rd street
194,-73.8804598369,40.649258681,155 elmira loop
195,-73.8428616002,40.7128058173,32 ingram street
196,-73.8397347163,40.716711237,186 burns street
197,-73.8414774605,40.7134690176,48 summer street
198,-73.8288338618,40.7908345037,33 north drive
199,-73.7510609425,40.7790399226,302 richmond road
200,-73.8469671484,40.7179651588,66 tennis place
201,-73.8381970231,40.7151723551,273 burns street
202,-73.7495877919,40.7785662508,330 warwick avenue
203,-73.8137613595,40.6913741954,1260 133rd street
204,-73.7420945379,40.7380452767,78-029 cloverdale boulevard
205,-73.8471226956,40.719526575,1 tennis place
206,-73.7491238209,40.7765499748,260 manor road
207,-73.8604982346,40.8469482236,166 delancey place
208,-73.8793561505,40.6817366013,3135 arlington avenue
209,-73.8424283223,40.7157889281,81 ascan avenue
210,-73.8464791335,40.7156649755,64 groton street
211,-73.8270944647,40.7954293988,112 malba drive
212,-73.8004275127,40.7825916355,163-045 willets point boulevard
213,-73.8476104822,40.7179159624,82 tennis place
214,-73.9105233181,40.713923821,21-042 54th place
215,-73.8448276025,40.718326653,11 greenway terrace
216,-73.9613252666,40.5803771604,7 brighton 7th lane
217,-73.9585525009,40.5816997001,47 gray court
218,-73.8458961309,40.7151033555,93 groton street
219,-73.8418218851,40.6946540727,155 88th avenue
220,-73.7508958157,40.7804304155,318 kenmore road
221,-73.7540877812,40.776767217,5 westmoreland place
222,-73.9076921701,40.6994622826,5551 putnam avenue
223,-73.7539290918,40.7754347532,202 shore road
224,-73.8289774855,40.7913806014,32 7th avenue
225,-73.7528369546,40.7735554101,1 alston place
226,-73.8304648521,40.7900690677,16 point crescent
227,-73.7410569152,40.7534293464,63-079 douglaston parkway
228,-73.8387284836,40.7160153337,226 burns street
229,-73.7510735824,40.7797144367,310 knollwood avenue
230,-73.7491304138,40.7772292836,300 beverly road
231,-73.925229317,40.6379395183,13 preston court
232,-73.9245199778,40.6379227744,30 preston court
233,-73.8476314101,40.8134575821,67 howe avenue
234,-73.7387333621,40.7536221346,63-043 douglaston parkway
235,-73.8290305563,40.7901043433,42 141st street
236,-73.8451428432,40.7179973699,7 archway place
237,-73.9244101667,40.6382830485,33 preston court
238,-73.9628848344,40.6346862491,32 newkirk plaza
239,-73.9730601717,40.5939717146,108 village road south
240,-73.8130373527,40.5900746149,355 dormans court
241,-73.810341537,40.7589205581,273 cherry avenue
242,-73.7521833408,40.780828671,7 kenmore road
243,-73.85767339,40.810432612,1501 underhill avenue
244,-73.906303211,40.7085041437,578 grandview avenue
245,-73.8308987016,40.7125423649,112 81st avenue
246,-73.7483467405,40.769954414,15 40th avenue
247,-73.841378723,40.7143788823,11 summer street
248,-73.7505681857,40.780109194,327 knollwood avenue
249,-73.7773433195,40.7165982619,186-022 chelsea street
250,-73.8483166334,40.7159959073,17 groton street
251,-73.9163627158,40.7770475247,161 23rd avenue
252,-73.8403821639,40.7154833649,72 greenway north
253,-73.907024885,40.6437930026,18 rose street
254,-73.857634276,40.8102670797,1503 underhill avenue
255,-73.8319422639,40.6948218733,32-010 91st avenue
256,-73.7496891007,40.776055087,237 hollywood avenue
257,-73.8298518238,40.789863957,22 point crescent
258,-73.8402271856,40.7127687993,51 shorthill road
259,-73.8456079421,40.7153290875,94 groton street
260,-73.8381960898,40.7118830062,234 greenway north
261,-73.8841330194,40.704054965,2785 central avenue
262,-73.7461624347,40.7763098965,370 hollywood avenue
263,-73.9583423004,40.5819259309,49 holt court
264,-73.7387405532,40.6002939054,337 meehan avenue
265,-73.7506585582,40.7807950064,321 kenmore road
266,-73.7417491374,40.5980534103,641 jarvis avenue
267,-73.8403115479,40.8826431649,1 cardinal spellman place
268,-73.7472681722,40.774351704,307 ridge road
269,-73.747070419,40.7761677042,336 hollywood avenue
270,-73.7504507066,40.7791337849,320 richmond road
271,-73.9629252169,40.6349813548,40 newkirk plaza
272,-73.7293378632,40.6635960371,250-011 hook creek boulevard
273,-73.8620180741,40.677138042,106-24 ruby street
274,-73.8660324552,40.6826400471,335 eldert lane
275,-73.8412395796,40.6948231876,176 88th avenue
276,-73.8990717214,40.7204219049,45 59th avenue
277,-73.7523801939,40.7764597332,600 west drive
278,-73.9613728642,40.5804807384,17 brighton 7th lane
279,-73.8415405244,40.6947269733,165 88th avenue
280,-73.9194231925,40.5606518728,109 rockaway point boulevard
281,-73.7399084834,40.7535220372,63-061 douglaston parkway
282,-73.7495442623,40.7789021308,335 warwick avenue
283,-73.9061631181,40.7086879129,578 grandview avenue
284,-73.8310349473,40.7111095262,119 82nd avenue
285,-73.8301534843,40.70494804,310 brevoort street
286,-73.9028682061,40.8765385831,3001 albany crescent
287,-73.9024747207,40.895168599,3 indian road
288,-73.8575239279,40.8098762141,1509 underhill avenue
289,-73.8638243245,40.6807296579,97-12 drew street
290,-73.8406900187,40.6950819317,191 88th avenue
291,-73.8426447613,40.710324146,254 75th road
292,-73.7795306793,40.7358868446,192-045 71st crescent
293,-73.8312836181,40.7113807908,122 82nd avenue
294,-73.7378668277,40.7699757639,9 cornell lane
295,-73.8409138974,40.7158448953,60 greenway north
296,-73.7282836548,40.6568683141,147-020 francis lewis boulevard
297,-73.825191823,40.7936001626,90 parsons boulevard
298,-73.8461134888,40.7188043589,5 dartmouth street
299,-73.8441388345,40.7183586383,26 greenway terrace
300,-73.7497874323,40.7802488481,349 knollwood avenue
301,-73.8377670799,40.7137121292,39 underwood road
302,-73.8623498263,40.678412155,105-24 ruby street
303,-73.8441978516,40.71847848,18 greenway terrace
304,-73.8478595441,40.8144294391,55 howe avenue
305,-73.8296133059,40.7124631549,20 kew gardens road
306,-73.928033297,40.8127403615,9 canal place
307,-73.8492089844,40.8142085345,311 torry avenue
308,-73.8404068737,40.7171201503,158 burns street
309,-73.7403992284,40.5984509074,603 jarvis avenue
310,-73.8295695282,40.7902545414,39 141st street
311,-73.8426207454,40.7131105718,145 greenway south
312,-73.8441030233,40.7182917093,30 greenway terrace
313,-73.8481286137,40.7159223573,19 groton street
315,-73.7498903769,40.7788195048,329 warwick avenue
316,-73.8266861542,40.7942579653,98 malba drive
314,-73.7471396109,40.6020187137,4 hurley court
317,-73.8397112864,40.7119706457,41 wendover road
318,-73.7487115396,40.7699798059,9 40th avenue
319,-73.8557622135,40.8087082361,2 dune court
320,-73.9754547331,40.6585807844,2 11th avenue
321,-73.9732913384,40.7940918609,20 pomander walk
322,-73.8399009597,40.715008056,102 greenway north
323,-73.8422142176,40.6945620362,145 88th avenue
324,-73.7444527391,40.6579960704,240-012 146th avenue
325,-73.8448471308,40.718379711,7 greenway terrace
326,-73.8391424031,40.7112905982,70 rockrose place
327,-73.7403863533,40.7534811161,63-069 douglaston parkway
328,-73.7774502763,40.716669348,186-018 chelsea street
329,-73.8292106916,40.7910730883,36 141st street
330,-73.9251874032,40.6379668802,15 preston court
331,-73.8411379407,40.7169106111,26 ascan avenue
332,-73.847028529,40.7185746455,45 tennis place
333,-73.9172946602,40.7777349006,137 23rd avenue
334,-73.9062237024,40.700605662,5610 putnam avenue
335,-73.8477255928,40.813857709,320 howe avenue
336,-73.9615091454,40.580919895,26 brighton 7th court
337,-73.8128874205,40.7585014692,224 cherry avenue
338,-73.7481211392,40.77559413,303 arleigh road
